feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T108	E1	CRC	0.00280122861257253	0.0013443588041316	128	37	0.0392091815002145	0.309396086747147
T9	E1	CRC	0.0274217061784929	0.0132568073123761	128	104	0.0406383698840231	0.314947366601179
T210	E1	CRC	-0.0184311224142184	0.00903369015578191	128	17	0.043413626910831	0.329912869264503
T472	E1	CRC	0.00774868268455185	0.00381028837829629	128	9	0.0440897382888045	0.329912869264503
T255	E1	CRC	0.000970382025328143	0.000487414303380085	128	7	0.0486580148412479	0.357925058323756
T181	E1	CRC	-0.00438971396317976	0.00222890576580795	128	24	0.0510957669620714	0.363533817402279
T481	E1	CRC	-0.000528111625753567	0.000267334755228562	128	3	0.0504005443925116	0.363533817402279
T27	E1	CRC	-0.0220754709211577	0.0114146089947142	128	114	0.0553594317143881	0.383721081182339
T196	E1	CRC	-0.0155745579410018	0.00806461540641072	128	108	0.0557014472684041	0.383721081182339
T120	E1	CRC	0.0112962313926057	0.00594716716708883	128	76	0.0597937947086467	0.384445319641457
T141	E1	CRC	0.0166441654477041	0.00895355086337947	128	26	0.0653678139448711	0.384445319641457
T155	E1	CRC	0.035950698242159	0.0190478736581713	128	103	0.0614087756842423	0.384445319641457
T209	E1	CRC	-0.000777517775517267	0.000413132908683918	128	16	0.0621422279510339	0.384445319641457
T217	E1	CRC	0.00174669160853497	0.000910376161297068	128	21	0.0572908341082242	0.384445319641457
T226	E1	CRC	0.00186037452363193	0.000970907979334153	128	8	0.0576152180229811	0.384445319641457
T261	E1	CRC	0.0102885168722379	0.00552319234844088	128	20	0.0648213254307157	0.384445319641457
T292	E1	CRC	-0.000424397754779162	0.000224825500318038	128	5	0.0613694907845362	0.384445319641457
T390	E1	CRC	0.00174108322730727	0.000929431331471732	128	9	0.0633468744130036	0.384445319641457
T451	E1	CRC	0.000426441511387558	0.000229557452109753	128	5	0.065550584454995	0.384445319641457
T480	E1	CRC	0.00521097567194303	0.00274953788257167	128	5	0.0603544584091858	0.384445319641457
T82	E1	CRC	0.0259778315473517	0.0141928522597598	128	108	0.0695615200216666	0.384766776375178
T183	E1	CRC	0.00388212821150181	0.00211144605088049	128	36	0.0683272124506095	0.384766776375178
T189	E1	CRC	0.00487975155696686	0.00266727372132994	128	103	0.069690366341541	0.384766776375178
T343	E1	CRC	0.00503589247412187	0.00273578623799739	128	7	0.0680111029442813	0.384766776375178
T363	E1	CRC	0.000543632359677257	0.00029847636197085	128	11	0.0709247514055628	0.384766776375178
T417	E1	CRC	0.0127284867577325	0.00697482213207659	128	25	0.0703820088894289	0.384766776375178
T310	E1	CRC	0.00363410694064462	0.00200183275900711	128	22	0.0718421743926238	0.384932144276527
T63	E1	CRC	-0.00386654754371557	0.0021753297825494	128	55	0.0779061946052407	0.388635499524994
T98	E1	CRC	0.00813256008025916	0.00452472256927882	128	110	0.0746734150852547	0.388635499524994
T273	E1	CRC	0.00113227396514131	0.000629909937460289	128	11	0.074648497462614	0.388635499524994
T311	E1	CRC	0.00108905682520329	0.000609280648560299	128	5	0.0762692312230193	0.388635499524994
T364	E1	CRC	0.00533358364667713	0.00298638375651859	128	9	0.0765098000061781	0.388635499524994
T447	E1	CRC	-0.000774422636104867	0.000435643636371542	128	9	0.0778734556479493	0.388635499524994
T405	E1	CRC	0.001547238047097	0.000882147302635007	128	9	0.0818712913302749	0.403774323151583
T101	E1	CRC	0.0123122925413795	0.00704869564981638	128	117	0.083117906344832	0.405316532063563
T150	E1	CRC	0.0220730148008573	0.012753916512543	128	108	0.0859560640489149	0.409944305464056
T294	E1	CRC	0.00137805192118839	0.000794682461341053	128	6	0.0853477002578751	0.409944305464056
T73	E1	CRC	0.00156160569083397	0.000910854809221392	128	25	0.0889066700712416	0.415789666088206
T118	E1	CRC	0.0257174043038289	0.015009549972655	128	109	0.08909778559033	0.415789666088206
T153	E1	CRC	0.00469231864644438	0.00275251829668855	128	84	0.0907080689537838	0.418801084318534
T372	E1	CRC	-0.000323278264435289	0.00019054839060565	128	2	0.0922475430965786	0.421425617935949
T374	E1	CRC	-0.000456016739202101	0.000270443052198824	128	2	0.094235043479722	0.426020925731243
T36	E1	CRC	0.0278942344285213	0.0166233265728119	128	86	0.0958224004908231	0.428731152711518
T15	E1	CRC	0.0135113005273553	0.00810618951648352	128	114	0.0980404459687589	0.432534243058881
T54	E1	CRC	0.00212219905549717	0.00127562061905695	128	75	0.0986656453060582	0.432534243058881
T473	E1	CRC	-0.000848665725351859	0.000511854399871993	128	2	0.0998006820666825	0.433134960169402
T301	E1	CRC	0.00744312095103011	0.00454967331496231	128	22	0.104341823745356	0.448359915895885
T78	E1	CRC	-0.0182247621608444	0.0112504606201077	128	56	0.107751256214296	0.452028009312179
T88	E1	CRC	-0.0011916419010392	0.000733864078158488	128	39	0.10691958750808	0.452028009312179
T162	E1	CRC	-0.0121113062068233	0.00748871802723271	128	60	0.108320075964209	0.452028009312179
T115	E1	CRC	0.0158955989832298	0.00993055952864272	128	41	0.111953259016875	0.458984006125583
T283	E1	CRC	-0.00764289168166822	0.00477679426349672	128	37	0.112102084445419	0.458984006125583
T173	E1	CRC	0.000921106034053097	0.000580442739977882	128	10	0.115041145683315	0.462294974319987
T463	E1	CRC	0.00198819347828626	0.00125035472446573	128	5	0.114317472403767	0.462294974319987
T193	E1	CRC	0.000665602486808467	0.000423261540078604	128	7	0.118329405723188	0.467290296579009
T406	E1	CRC	0.00284951170673903	0.00181256356928403	128	4	0.118437632773482	0.467290296579009
T8	E1	CRC	-0.0161692992590366	0.0103774515068848	128	38	0.121713402172095	0.472275464566092
T397	E1	CRC	-0.00409721755231263	0.00263076166571926	128	9	0.121877539242862	0.472275464566092
T81	E1	CRC	-0.0200977425890609	0.0130275821688665	128	76	0.125409704636887	0.481662051437247
T446	E1	CRC	-0.000705991301893399	0.000459039452776316	128	10	0.12656218030418	0.481824440807142
T467	E1	CRC	0.00196229832231133	0.00128297548848662	128	4	0.128649683656963	0.485512719192364
T34	E1	CRC	0.00729830870265638	0.00484107730465401	128	62	0.134165420037364	0.49400963983392
T85	E1	CRC	0.00540561793128076	0.00357284566349345	128	43	0.132790859321054	0.49400963983392
