feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T439	X2	X2	-2.84191719470533e-05	1.09399482976195e-05	107	1	0.0107714620985279	0.306388255247016
T42	X1	male	-0.00671610335580202	0.00259786715783681	107	36	0.0111445575746257	0.307246879595836
T255	X2	X2	-0.00015719118487156	6.08004436116911e-05	107	8	0.0111407695082006	0.307246879595836
T87	E1	CRC	0.00508418821388734	0.00197968705265448	107	32	0.0116723081346478	0.316920851171043
T155	E1	CRC	0.0351760605169253	0.0137496736340386	107	68	0.0119874297891001	0.320619017642797
T99	X2	X2	0.000105203034215904	4.13322233418908e-05	107	17	0.0124152352794974	0.327177965012637
T17	X3	X3	0.00489697878607158	0.0019328361809614	107	107	0.0128125066805513	0.328000171022114
T364	X2	X2	-0.0003794244098661	0.000149471004928845	107	8	0.0126459983261159	0.328000171022114
T127	X2	X2	-0.000700208701910121	0.000277806233573461	107	88	0.0132688152174997	0.332450666041439
T150	E1	CRC	0.0350828902589128	0.0139328327810667	107	69	0.0133573928320221	0.332450666041439
T164	X3	X3	-0.000254223574351998	0.000101849083580022	107	3	0.0141597160867341	0.347591934622294
T74	E1	CRC	0.0265502506539527	0.0107132245631235	107	51	0.0148431763257458	0.349998649025935
T122	E1	CRC	0.0150694783166577	0.00608401480091971	107	34	0.0148970160564545	0.349998649025935
T144	E1	CRC	-0.022872932148611	0.00930258227634721	107	32	0.0156249396886578	0.349998649025935
T224	E1	CRC	0.00932978394397887	0.00377817111425199	107	20	0.015194690853442	0.349998649025935
T402	X1	male	-0.000327627981716658	0.000132345785397478	107	3	0.0149502414594456	0.349998649025935
T452	X2	X2	-1.05489950696876e-05	4.28367519872998e-06	107	1	0.0154684640033779	0.349998649025935
T453	X2	X2	-1.35968631260863e-05	5.5213359157885e-06	107	1	0.015468464003378	0.349998649025935
T379	X1	male	-0.00213493134286236	0.000874024739886115	107	5	0.0162992110522854	0.360594891428338
T390	E1	CRC	0.00133453418546165	0.000548446180041223	107	4	0.0167016099329955	0.364991280486926
T9	X1	male	0.0404060791181749	0.0166655537416766	107	100	0.0170874784542608	0.368924836024523
T375	E1	CRC	0.00655589451350332	0.00272300369386142	107	5	0.0178545751779064	0.380897603795338
T423	X1	male	-0.00070242126033439	0.000293353000400683	107	3	0.0184708572220846	0.389409131082066
T425	E1	CRC	0.000478708085831336	0.000200786866014528	107	4	0.0189669576643831	0.395218466681099
T156	E1	CRC	-0.0142477324914447	0.00602330515471329	107	15	0.0198995326422219	0.409884626377721
T21	X3	X3	0.00388087572404818	0.00164750271910566	107	107	0.020404796352814	0.410847135553289
T213	E1	CRC	0.00528501974617737	0.00224123991631704	107	60	0.0202768256692623	0.410847135553289
T113	E1	CRC	0.0341291288368148	0.0145722802869147	107	78	0.0211205325501945	0.411391242716832
T242	X1	male	-0.00450703681982618	0.00192275742730349	107	11	0.0210140490442174	0.411391242716832
T336	X3	X3	-7.13230145685707e-05	3.0403928896852e-05	107	4	0.0209181568980297	0.411391242716832
