feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T80	E1	CRC	-0.00028474155633488	0.000290064289058789	55	1	0.330732411771926	0.668161216624617
T89	E1	CRC	0.00121518160832073	0.00105980536671546	55	3	0.256693816538431	0.668161216624617
T92	E1	CRC	0.000285055438523824	0.000279821061344237	55	1	0.312970293791279	0.668161216624617
T95	E1	CRC	0.00064019612584923	0.00062844041962956	55	1	0.312970293791278	0.668161216624617
T96	E1	CRC	0.00880716875028771	0.00901023270812968	55	5	0.332780683766346	0.668161216624617
T100	E1	CRC	0.00210223507728943	0.0020636324413542	55	1	0.312970293791278	0.668161216624617
T102	E1	CRC	0.00535655669643654	0.00499618478938716	55	5	0.288519640907436	0.668161216624617
T104	E1	CRC	-0.000644238163018563	0.000656281040062671	55	1	0.330732411771924	0.668161216624617
T105	E1	CRC	-0.000592529041788767	0.000603605309549576	55	1	0.330732411771924	0.668161216624617
T108	E1	CRC	-0.000340520868164329	0.000346886295085085	55	1	0.330732411771925	0.668161216624617
T117	E1	CRC	-0.0168352589891582	0.0115858583163378	55	17	0.152095187402324	0.668161216624617
T120	E1	CRC	0.0124643936131959	0.00623576638779611	55	15	0.0507640140649645	0.668161216624617
T122	E1	CRC	-0.00243680292204974	0.0024823545823759	55	1	0.330732411771924	0.668161216624617
T124	E1	CRC	-0.000727035933784624	0.000740626566658952	55	1	0.330732411771924	0.668161216624617
T125	E1	CRC	0.00371872030692244	0.00345139448931049	55	2	0.286157087243653	0.668161216624617
T129	E1	CRC	0.0209639895282116	0.0125328377247939	55	22	0.10027515877875	0.668161216624617
T137	E1	CRC	0.00194857885989909	0.00191279776142329	55	1	0.312970293791278	0.668161216624617
T141	E1	CRC	-0.00451679753383543	0.00438383821793748	55	3	0.307534491331836	0.668161216624617
T143	E1	CRC	0.00198064152496316	0.00173825933235726	55	9	0.259643528365419	0.668161216624617
T145	E1	CRC	0.00143969213543557	0.00141325555278912	55	1	0.312970293791278	0.668161216624617
T149	E1	CRC	0.000624111645199522	0.000612651292890285	55	1	0.312970293791278	0.668161216624617
T150	E1	CRC	-0.0397379645625886	0.0213441321947599	55	21	0.0681836547285746	0.668161216624617
T157	E1	CRC	-0.0245093789041122	0.0209195962731375	55	12	0.246598174720567	0.668161216624617
T158	E1	CRC	-0.00723500997908431	0.00529591465684146	55	2	0.17766100266907	0.668161216624617
T159	E1	CRC	-0.00802267653142472	0.00610644341257143	55	27	0.194570424632439	0.668161216624617
T160	E1	CRC	-0.00896158327960898	0.00823187699005426	55	3	0.281236513915588	0.668161216624617
T161	E1	CRC	0.00331423244613095	0.00220035010378535	55	3	0.137945592975118	0.668161216624617
T167	E1	CRC	0.00877713985229973	0.00668634878009215	55	10	0.194941599852929	0.668161216624617
T169	E1	CRC	0.00335111331530182	0.00313095988038944	55	14	0.289327727098297	0.668161216624617
