feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T113	E1	CRC	0.0298650749451297	0.010718568971548	157	127	0.00603021080007291	0.220398292771292
T273	X2	X2	-7.9331801748005e-05	2.85636042279229e-05	157	18	0.00618962641486886	0.221874300717607
T182	E1	CRC	-0.00858450150887723	0.00314741810440543	157	81	0.00715430938673244	0.251615711261684
T6	E1	CRC	-0.0522493170407786	0.0194190742999333	157	133	0.00795225203748374	0.26731912126626
T200	X3	X3	0.000905161661553315	0.000336846594693836	157	49	0.0080310465616473	0.26731912126626
T430	E1	CRC	0.0010997331552079	0.000407360508133956	157	6	0.00774946661977992	0.26731912126626
T336	X3	X3	-7.58818531599603e-05	2.83103028631525e-05	157	2	0.00818819790007137	0.267768436591808
T129	E1	CRC	-0.013495907377942	0.00506716066364316	157	103	0.00859215821729121	0.271453947746285
T241	E1	CRC	0.0222720715058206	0.00835531928277436	157	90	0.00853851449299953	0.271453947746285
T109	X3	X3	-0.00336355702758996	0.00127294794775213	157	142	0.00911916936815107	0.278657896757928
T355	E1	CRC	0.00768151878687781	0.00290183219872656	157	14	0.00899684850796815	0.278657896757928
T228	X2	X2	0.000230242511283783	8.7343239824971e-05	157	21	0.00928156090458328	0.279045637518439
T7	E1	CRC	-0.00818975183953396	0.00317970677086876	157	7	0.0109853165013533	0.296108135705997
T51	X3	X3	0.00038262006725732	0.00014698090493318	157	78	0.0101761420400847	0.296108135705997
T86	X2	X2	0.00206875517481524	0.000800456794286083	157	135	0.0107198196828604	0.296108135705997
T162	X2	X2	-0.000665750404779661	0.000256733652914589	157	76	0.0104644429830278	0.296108135705997
T168	X3	X3	-0.00065139786725839	0.000252261239773526	157	114	0.0107863568894311	0.296108135705997
T283	X2	X2	0.000509929454974274	0.000198321738937066	157	43	0.0111199407185729	0.296108135705997
T354	X3	X3	0.000279894903496027	0.000108189377920197	157	2	0.0106423753878609	0.296108135705997
T461	X3	X3	0.00056175486644471	0.000218190541575849	157	3	0.0110164684518618	0.296108135705997
T360	E1	CRC	-0.0113650350663741	0.00444505911024103	157	8	0.0115715075332787	0.3037928174934
T70	X2	X2	7.38833649064925e-05	2.91991339539301e-05	157	37	0.0124412880963918	0.312342889344594
T90	X2	X2	0.000249549980780172	9.87679570010554e-05	157	86	0.0125674445819981	0.312342889344594
T192	X3	X3	-0.000663508342940455	0.000261952494138994	157	72	0.0123530539844485	0.312342889344594
T363	X3	X3	5.46042356017397e-05	2.15901276514985e-05	157	6	0.012482010975528	0.312342889344594
T79	X3	X3	0.000177415534436094	7.04680110924174e-05	157	33	0.0128776397902493	0.315841060118745
T231	E1	CRC	-0.000904746254475079	0.000361475964535584	157	21	0.013403647483693	0.324472713111738
T66	E1	CRC	0.00850074955364224	0.0034101471500729	157	113	0.0137762880733824	0.325050645174491
T409	X2	X2	-4.56247153601423e-05	1.82908885534841e-05	157	4	0.0137163368462922	0.325050645174491
T482	E1	CRC	-0.00111698394932808	0.000449825477904659	157	8	0.0141387103392011	0.329431950903385
T36	E1	CRC	0.0293033867999001	0.0118435672348169	157	133	0.014482965943932	0.333287018759127
T468	X3	X3	-4.55076884017734e-05	1.84582329207239e-05	157	3	0.0148273082740816	0.337050031986439
